#BOS,flight
فرانسیسکو,I-fromloc.city_name
به,O
پیتسبرگ,B-toloc.city_name
را,O
به,O
من,O
نشان,O
بده,O
فقط,O
فرست,B-class_type
کلاس,I-class_type
#EOS,424
#BOS,flight
ارزان‌ترین,B-cost_relative
پرواز,O
از,O
پیتسبرگ,B-fromloc.city_name
به,O
اتلانتا,B-toloc.city_name
که,O
پنج,B-depart_date.day_number
اکتبر,B-depart_date.month_name
حرکت,O
می‌کند,O
کدام,O
است,O
#EOS,425
#BOS,flight
ایا,O
پروازی,O
بدون,B-flight_stop
توقف,I-flight_stop
از,O
سن,B-fromloc.city_name
فرانسیسکو,I-fromloc.city_name
به,O
بوستون,B-toloc.city_name
در,O
روزهای,O
پنجشنبه,B-arrive_date.day_name
وجود,O
دارد,O
#EOS,426
#BOS,flight
در,O
یکشنبه,B-depart_date.day_name
همه,O
پروازهای,O
فیلادلفیا,B-fromloc.city_name
به,O
دنور,B-toloc.city_name
را,O
به,O
من,O
نشان,O
بده,O
که,O
بعد,B-depart_time.time_relative
از,I-depart_time.time_relative
ظهر,B-depart_time.time
فیلادلفیا,B-fromloc.city_name
را,O
ترک,O
می‌کنند,O
#EOS,427
#BOS,flight
پروازها,O
از,O
شهرستان,B-fromloc.city_name
وست‌چستر,I-fromloc.city_name
به,O
سنت,B-toloc.city_name
پال,I-toloc.city_name
#EOS,428
#BOS,airfare
تمام,O
قیمت‌های,O
پروازها,O
از,O
بالتیمور,B-fromloc.city_name
به,O
دالاس,B-toloc.city_name
را,O
به,O
من,O
نشان,O
دهید,O
#EOS,429
#BOS,flight
من,O
یک,O
پرواز,O
از,O
انتاریو,B-fromloc.city_name
به,O
لس,B-toloc.city_name
انجلس,I-toloc.city_name
برای,O
یک,O
پنج,B-depart_date.day_name
شنبه,I-depart_date.day_name
میخواهم,O
#EOS,430
#BOS,abbreviation
محدودیت,O
ای‌پی,B-restriction_code
۵۷,I-restriction_code
را,O
توضیح,O
دهید,O
#EOS,431
#BOS,flight
من,O
یک,O
پرواز,O
بازگشت,B-round_trip
از,O
شیکاگو,B-fromloc.city_name
به,O
کانزاس,B-toloc.city_name
سیتی,I-toloc.city_name
نیاز,O
دارم,O
که,O
شیکاگو,B-fromloc.city_name
را,O
حدود,B-depart_time.time_relative
ساعت,O
۷,B-depart_time.time
بعد,B-depart_time.period_of_day
از,I-depart_time.period_of_day
ظهر,I-depart_time.period_of_day
روز,O
بعد,B-depart_date.date_relative
چهارشنبه,B-depart_date.day_name
اینده,O
ترک,O
کند,O
#EOS,432
#BOS,flight
تمام,O
پروازهای,O
مستقیم,B-connect
از,O
پیتسبرگ,B-fromloc.city_name
به,O
اوکلند,B-toloc.city_name
را,O
نشان,O
بده,O
#EOS,433
#BOS,ground_service
حمل,O
و,O
نقل,O
زمینی,O
در,O
دیترویت,B-city_name
را,O
لیست,O
کن,O
#EOS,434
#BOS,flight
لطفا,O
پروازهایی,O
که,O
اتلانتا,B-fromloc.city_name
را,O
به,O
مقصد,O
بالتیمور,B-toloc.city_name
بعد,B-depart_time.time_relative
از,I-depart_time.time_relative
ساعت,O
۸,B-depart_time.time
بعد,I-depart_time.time
از,I-depart_time.time
ظهر,I-depart_time.time
چهارشنبه,B-depart_date.day_name
و,O
قبل,B-depart_time.time_relative
از,I-depart_time.time_relative
ساعت,O
۹,B-depart_time.time
صبح,I-depart_time.time
پنج‌شنبه,B-depart_date.day_name
ترک,O
می‌کنند,O
را,O
لیست,O
کن,O
#EOS,435
#BOS,flight
گزینه‌های,O
من,O
از,O
پروازهایی,O
که,O
اول,B-depart_time.period_of_day
وقت,I-depart_time.period_of_day
بعد,B-depart_time.period_of_day
از,I-depart_time.period_of_day
ظهر,I-depart_time.period_of_day
از,O
مینیاپولیس,B-fromloc.city_name
به,O
ایندیاناپولیس,B-toloc.city_name
می‌روند,O
چیست,O
#EOS,436
#BOS,flight
پروازهای,O
پیتسبرگ,B-fromloc.city_name
به,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
برای,O
یکشنبه,B-depart_date.day_name
را,O
به,O
من,O
نشان,O
بده,O
#EOS,437
#BOS,flight
الان,O
من,O
یک,O
پرواز,O
برای,O
دوشنبه,B-arrive_date.day_name
اینده,B-arrive_date.date_relative
از,O
فورت,B-fromloc.city_name
ورث,I-fromloc.city_name
می‌خواهم,O
که,O
حداکثر,B-arrive_time.time_relative
تا,I-arrive_time.time_relative
ساعت,O
۲,B-arrive_time.time
بعد,I-arrive_time.time
از,I-arrive_time.time
ظهر,I-arrive_time.time
به,O
دنور,B-toloc.city_name
برسد,O
#EOS,438
#BOS,ground_service
چه,O
حمل,O
و,O
نقل,O
زمینی,O
از,O
فرودگاه,B-fromloc.airport_name
دالاس,I-fromloc.airport_name
به,O
مرکز,O
شهر,O
وجود,O
دارد,O
#EOS,439
#BOS,flight
پروازهای,O
بین,O
نیویورک,B-fromloc.city_name
و,O
سن,B-toloc.city_name
خوزه,I-toloc.city_name
#EOS,440
#BOS,airfare
ارزانترین,B-cost_relative
کرایه,O
رفت,B-round_trip
و,I-round_trip
برگشت,I-round_trip
از,O
پیتسبرگ,B-fromloc.city_name
به,O
اتلانتا,B-toloc.city_name
چیست,O
#EOS,441
#BOS,flight
می‌خواهم,O
اطلاعات,O
پروازهای,O
پیتسبرگ,B-fromloc.city_name
به,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
که,O
پس,B-depart_time.time_relative
از,I-depart_time.time_relative
۱۲,B-depart_time.time
شب,I-depart_time.time
پیتسبرگ,B-fromloc.city_name
را,O
ترک,O
می‌کنند,O
را,O
ببینم,O
#EOS,442
#BOS,flight
پروازهای,O
فیلادلفیا,B-fromloc.city_name
به,O
اتلانتا,B-toloc.city_name
را,O
به,O
من,O
نشان,O
بده,O
#EOS,443
#BOS,airfare
از,O
خطوط,B-airline_name
هوایی,I-airline_name
یونایتد,I-airline_name
چه,O
پروازهایی,O
با,O
بلیط,O
فرست,B-class_type
کلاس,I-class_type
از,O
دنور,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
در,O
تاریخ,O
سه,B-depart_date.day_number
ژوییه,B-depart_date.month_name
موجود,O
است,O
#EOS,444
#BOS,flight
پروازهای,O
بعد,B-depart_time.period_of_day
از,I-depart_time.period_of_day
ظهر,I-depart_time.period_of_day
چهارشنبه,B-depart_date.day_name
از,O
دنور,B-fromloc.city_name
به,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
را,O
به,O
من,O
نشان,O
بده,O
#EOS,445
#BOS,flight
پروازهای,O
دنور,B-fromloc.city_name
به,O
واشنگتن,B-toloc.city_name
در,O
روز,O
چهارشنبه,B-depart_date.day_name
را,O
نمایش,O
بده,O
#EOS,446
#BOS,flight
پرواز,O
۶۳۰,B-depart_time.time
صبح,I-depart_time.time
در,O
بیست,B-depart_date.day_number
و,I-depart_date.day_number
هفتم,I-depart_date.day_number
اوت,B-depart_date.month_name
از,O
اتلانتا,B-fromloc.city_name
به,O
دالاس,B-toloc.city_name
#EOS,447
#BOS,flight
چه,O
پروازهایی,O
بین,O
پیتسبرگ,B-fromloc.city_name
و,O
بالتیمور,B-toloc.city_name
در,O
یازدهم,B-depart_date.day_number
ماه,O
اوت,B-depart_date.month_name
موجود,O
است,O
#EOS,448
#BOS,airfare
یک,O
بلیط,O
رفت,B-round_trip
و,I-round_trip
برگشت,I-round_trip
فرست,B-class_type
کلاس,I-class_type
از,O
بوستون,B-fromloc.city_name
به,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
چقدر,O
هزینه,O
دارد,O
#EOS,449
#BOS,flight
پروازها,O
از,O
بالتیمور,B-fromloc.city_name
به,O
سیاتل,B-toloc.city_name
که,O
در,O
مینیاپولیس,B-stoploc.city_name
توقف,O
میکند,O
را,O
لیست,O
کنید,O
#EOS,450
#BOS,airfare
هزینه,O
پرواز,O
از,O
بوستون,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
در,O
شنبه,B-depart_date.day_name
چقدر,O
است,O
#EOS,451
#BOS,flight
چه,O
پروازهایی,O
از,O
هواپیمایی,O
کنتیننتال,B-airline_name
از,O
نیوارک,B-fromloc.city_name
به,O
شیکاگو,B-toloc.city_name
هست,O
#EOS,452
#BOS,flight
پروازهای,O
صبح,B-depart_time.period_of_day
از,O
اتلانتا,B-fromloc.city_name
به,O
فیلادلفیا,B-toloc.city_name
#EOS,453
#BOS,flight
تمام,O
پروازهای,O
دالاس,B-fromloc.city_name
به,O
پیتسبرگ,B-toloc.city_name
برای,O
دوشنبه,B-depart_date.day_name
که,O
بعد,B-depart_time.time_relative
از,I-depart_time.time_relative
ساعت,B-depart_time.time
۸,I-depart_time.time
شب,I-depart_time.time
حرکت,O
می‌کنند,O
را,O
به,O
من,O
نشان,O
بده,O
#EOS,454
#BOS,flight
تمام,O
پروازها,O
در,O
فرودگاه,B-fromloc.airport_name
بین‌المللی,I-fromloc.airport_name
ژنرال,I-fromloc.airport_name
میچل,I-fromloc.airport_name
را,O
لیست,O
کن,O
#EOS,455
#BOS,flight
لطفا,O
یک,O
لیست,O
از,O
تمام,O
پروازها,O
در,O
روز,O
یکشنبه,B-depart_date.day_name
از,O
سن,B-fromloc.city_name
فرانسیسکو,I-fromloc.city_name
به,O
پیتسبرگ,B-toloc.city_name
می‌خواهم,O
#EOS,456
#BOS,flight
تمام,O
پروازهای,O
روزانه,B-flight_days
بین,O
بوستون,B-fromloc.city_name
و,O
اوکلند,B-toloc.city_name
و,O
همچنین,O
بوستون,B-fromloc.city_name
و,O
اوکلند,B-toloc.city_name
با,O
استفاده,O
از,O
خط,B-airline_name
هوایی,I-airline_name
امریکن,I-airline_name
را,O
لیست,O
کنید,O
#EOS,457
#BOS,ground_service
برای,O
رفتن,O
به,O
بوستون,B-city_name
چه,O
حمل,O
و,O
نقل,O
زمینی,O
میتوانم,O
داشته,O
باشم,O
#EOS,458
#BOS,flight_time
من,O
میخواهم,O
زمان,B-flight_time
دیرترین,B-flight_mod
پرواز,O
از,O
واشنگتن,B-fromloc.city_name
به,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
را,O
بدانم,O
که,O
بتوانم,O
شام,B-meal_description
هم,O
داشته,O
باشم,O
#EOS,459
#BOS,flight
همه‌‌ی,O
پروازهای,O
دوشنبه‌,B-depart_date.day_name
فیلادلفیا,B-fromloc.city_name
به,O
بوستون,B-toloc.city_name
که,O
یک,O
وعده,B-meal
غذایی,I-meal
دارند,O
و,O
قبل,B-arrive_time.time_relative
از,I-arrive_time.time_relative
ظهر,B-arrive_time.time
می‌رسند,O
را,O
به,O
من,O
نشان,O
بده,O
#EOS,460
#BOS,flight
همه,O
پروازها,O
از,O
سن,B-fromloc.city_name
فرانسیسکو,I-fromloc.city_name
به,O
بوستون,B-toloc.city_name
در,O
هشتم,B-depart_date.day_number
اوت,B-depart_date.month_name
را,O
نشان,O
دهید,O
#EOS,461
#BOS,flight
کدام,O
پرواز,O
خط,B-airline_name
هوایی,I-airline_name
نورث‌وست,I-airline_name
دنور,B-fromloc.city_name
را,O
قبل,B-depart_time.time_relative
از,I-depart_time.time_relative
ظهر,B-depart_time.time
ترک,O
میکند,O
#EOS,462
#BOS,airport
فرودگاه,B-airport_name
پیتسبرگ,I-airport_name
را,O
توصیف,O
کن,O
#EOS,463
#BOS,flight
تمام,O
پروازهای,O
خروجی,O
از,O
فرودگاه,B-fromloc.airport_name
بین‌المللی,I-fromloc.airport_name
ژنرال,I-fromloc.airport_name
میچل,I-fromloc.airport_name
را,O
فهرست,O
کن,O
#EOS,464
#BOS,flight
در,O
مورد,O
پروازهای,O
شارلوت,B-fromloc.city_name
به,O
اتلانتا,B-toloc.city_name
برای,O
سه,B-depart_date.day_name
شنبه,I-depart_date.day_name
اینده,B-depart_date.date_relative
به,O
من,O
بگویید,O
#EOS,465
#BOS,flight
من,O
چهارشنبه,B-depart_date.day_name
اینده,B-depart_date.date_relative
به,O
پرواز,O
از,O
کانزاس,B-fromloc.city_name
سیتی,I-fromloc.city_name
به,O
شیکاگو,B-toloc.city_name
احتیاج,O
دارم,O
که,O
حدود,B-arrive_time.time_relative
ساعت,O
۷,B-arrive_time.time
شب,B-arrive_time.period_of_day
به,O
شیکاگو,B-toloc.city_name
برسد,O
#EOS,466
#BOS,flight
من,O
یک,O
پرواز,O
ارزان,B-flight_mod
از,O
بالتیمور,B-fromloc.city_name
به,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
نیاز,O
دارم,O
#EOS,467
#BOS,flight
در,O
خط,O
هوایی,O
یو‌اس‌ای,B-airline_name
ایر,I-airline_name
چند,O
پرواز,O
در,O
بیست,B-depart_date.day_number
و,I-depart_date.day_number
هفتم,I-depart_date.day_number
ژوییه,B-depart_date.month_name
از,O
اوکلند,B-fromloc.city_name
به,O
بوستون,B-toloc.city_name
بدون,B-flight_stop
توقف,I-flight_stop
انجام,O
می‌شود,O
#EOS,468
#BOS,airfare
لطفا,O
هزینه,O
تمام,O
پروازهای,O
فیلادلفیا,B-fromloc.city_name
به,O
فرودگاه,B-toloc.airport_name
دنور,I-toloc.airport_name
برای,O
یکشنبه,B-depart_date.day_name
اینده,B-depart_date.date_relative
را,O
لیست,O
کنید,O
#EOS,469
#BOS,airline
کدام,O
خطوط,O
هوایی,O
به,O
دنور,B-city_name
سرویس,O
می‌دهند,O
#EOS,470
#BOS,airline
کدام,O
خط,O
هوایی,O
در,O
دنور,B-fromloc.city_name
پیتسبرگ,B-fromloc.city_name
و,O
اتلانتا,B-fromloc.city_name
خدمات,O
می‌دهد,O
#EOS,471
#BOS,flight
من,O
میخواهم,O
با,O
خطوط,B-airline_name
هوایی,I-airline_name
یونایتد,I-airline_name
از,O
واشنگتن,B-fromloc.city_name
به,O
دنور,B-toloc.city_name
پرواز,O
کنم,O
#EOS,472
#BOS,flight
من,O
یک,O
پرواز,O
از,O
تورنتو,B-fromloc.city_name
به,O
مونترال,B-toloc.city_name
برای,O
جمعه,B-depart_date.day_name
صبح,B-depart_time.period_of_day
زود,B-depart_time.period_mod
میخواهم,O
#EOS,473
#BOS,flight
پروازها,O
از,O
بالتیمور,B-fromloc.city_name
به,O
بوستون,B-toloc.city_name
را,O
به,O
من,O
نشان,O
دهید,O
#EOS,474
#BOS,flight
چه,O
پروازهایی,O
از,O
پیتسبرگ,B-fromloc.city_name
به,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
برای,O
روز,O
جمعه,B-depart_date.day_name
موجود,O
است,O
#EOS,475
#BOS,flight
به,O
من,O
برنامه‌ریزی,O
پروازهای,O
مستقیم,B-connect
از,O
بوستون,B-fromloc.city_name
به,O
دنور,B-toloc.city_name
که,O
ساعت,O
۱۰,B-depart_time.time
صبح,I-depart_time.time
از,O
بوستون,B-fromloc.city_name
حرکت,O
می‌کنند,O
را,O
نشان,O
بده,O
#EOS,476
#BOS,flight
پروازها,O
از,O
فیلادلفیا,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
را,O
به,O
من,O
نشان,O
بده,O
#EOS,477
#BOS,flight
تمام,O
پروازهای,O
پیتسبرگ,B-fromloc.city_name
به,O
اتلانتا,B-toloc.city_name
که,O
بعد,B-depart_time.time_relative
از,I-depart_time.time_relative
ساعت,B-depart_time.time
۵,I-depart_time.time
بعدازظهر,I-depart_time.time
فردا,B-depart_date.today_relative
حرکت,O
میکنند,O
را,O
به,O
من,O
نشان,O
بده,O
#EOS,478
#BOS,flight
کدام,O
پروازها,O
از,O
ممفیس,B-fromloc.city_name
به,O
تاکوما,B-toloc.city_name
در,O
لس,B-stoploc.city_name
انجلس,I-stoploc.city_name
نیز,O
توقف,O
دارند,O
#EOS,479
#BOS,flight
لطفا,O
پروازهای,O
بیست,B-depart_date.day_number
و,I-depart_date.day_number
ششم,I-depart_date.day_number
سپتامبر,B-depart_date.month_name
را,O
به,O
من,O
نشان,O
دهید,O
#EOS,480
#BOS,airfare
قیمت,O
پروازهای,O
کوچ,B-class_type
از,O
بالتیمور,B-fromloc.city_name
به,O
دالاس,B-toloc.city_name
را,O
به,O
من,O
نمایش,O
بده,O
#EOS,481
#BOS,flight
پروازها,O
از,O
مونترال,B-fromloc.city_name
به,O
شیکاگو,B-toloc.city_name
چیست,O
#EOS,482
#BOS,flight
ایا,O
شرکت,O
میدوست,B-airline_name
اکسپرس,I-airline_name
در,O
بالتیمور,B-city_name
خدمات,O
ارایه,O
می‌دهد,O
#EOS,483
#BOS,flight
پروازهای,O
فیلادلفیا,B-fromloc.city_name
به,O
دالاس,B-toloc.city_name
در,O
خطوط,B-airline_name
هوایی,I-airline_name
امریکن,I-airline_name
را,O
لیست,O
کنید,O
#EOS,484
#BOS,flight
ایا,O
پروازی,O
حدود,B-depart_time.time_relative
ساعت,O
۳,B-depart_time.time
بعد,I-depart_time.time
از,I-depart_time.time
ظهر,I-depart_time.time
از,O
شارلوت,B-fromloc.city_name
به,O
مینیاپولیس,B-toloc.city_name
وجود,O
دارد,O
#EOS,485
#BOS,flight
اخرین,B-flight_mod
حرکت,O
از,O
بوستون,B-fromloc.city_name
به,O
پیتسبرگ,B-toloc.city_name
در,O
هفتم,B-depart_date.day_number
ژوییه,B-depart_date.month_name
چیست,O
#EOS,486
#BOS,flight
پروازهای,O
خطوط,B-airline_name
هوایی,I-airline_name
یونایتد,I-airline_name
میان,O
بالتیمور,B-fromloc.city_name
و,O
دنور,B-toloc.city_name
در,O
دوازدهم,B-depart_date.day_number
اوت,B-depart_date.month_name
کدام,O
هستند,O
#EOS,487
#BOS,aircraft
نوع,O
هواپیما,O
با,O
بیشترین,B-mod
ظرفیت,O
صندلی,O
چیست,O
#EOS,488
#BOS,flight
تمام,O
پروازهایی,O
از,O
نیویورک,B-fromloc.city_name
سیتی,I-fromloc.city_name
به,O
لاس,B-toloc.city_name
وگاس,I-toloc.city_name
را,O
به,O
من,O
بدهید,O
که,O
یکشنبه,B-arrive_date.day_name
می‌رسند,O
#EOS,489
#BOS,flight
من,O
باید,O
تمام,O
پروازها,O
در,O
روز,O
جمعه,B-depart_date.day_name
را,O
ببینم,O
که,O
اتلانتا,B-fromloc.city_name
را,O
به,O
مقصد,O
دالاس,B-toloc.city_name
ترک,O
می‌کنند,O
و,O
قبل,B-arrive_time.time_relative
از,I-arrive_time.time_relative
ساعت,O
۶,B-arrive_time.time
بعد,I-arrive_time.time
از,I-arrive_time.time
ظهر,I-arrive_time.time
می‌رسند,O
#EOS,490
#BOS,flight
بوستون,B-fromloc.city_name
به,O
پیتسبرگ,B-toloc.city_name
#EOS,491
#BOS,airline
چه,O
خطوط,O
هوایی,O
ای,O
از,O
بوستون,B-fromloc.city_name
به,O
پیتسبرگ,B-toloc.city_name
پرواز,O
دارند,O
#EOS,492
#BOS,flight
از,O
دنور,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
#EOS,493
#BOS,flight
می‌توانید,O
تمامی,O
پرواز‌ها,O
از,O
اوکلند,B-fromloc.city_name
به,O
سالت,B-toloc.city_name
لیک,I-toloc.city_name
سیتی,I-toloc.city_name
را,O
به,O
من,O
نشان,O
دهید,O
#EOS,494
#BOS,flight
پروازهای,O
نیوارک,B-fromloc.city_name
به,O
تمپا,B-toloc.city_name
در,O
روز,O
جمعه,B-depart_date.day_name
در,O
خط,O
هوایی,O
یو‌اس,B-airline_name
ایر,I-airline_name
#EOS,495
#BOS,flight
پروازها,O
از,O
لاو,B-fromloc.airport_name
فیلد,I-fromloc.airport_name
را,O
به,O
من,O
نشان,O
بده,O
#EOS,496
#BOS,flight
لطفا,O
پروازهای,O
بدون,B-flight_stop
توقف,I-flight_stop
یونایتد,B-airline_name
بین,O
بوستون,B-fromloc.city_name
و,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
که,O
حدود,B-arrive_time.time_relative
ساعت,O
۵,B-arrive_time.time
عصر,B-arrive_time.period_of_day
بلند,O
می‌شوند,O
را,O
نشانم,O
بده,O
#EOS,497
#BOS,flight
چه,O
پروازهایی,O
از,O
میامی,B-fromloc.city_name
به,O
ایندیاناپولیس,B-toloc.city_name
موجود,O
است,O
#EOS,498
#BOS,flight
من,O
به,O
اطلاعات,O
پروازهای,O
روز,O
سه,B-depart_date.day_name
شنبه,I-depart_date.day_name
که,O
از,O
بالتیمور,B-fromloc.city_name
به,O
مقصد,O
دالاس,B-toloc.city_name
دالاس,B-fromloc.city_name
به,O
بوستون,B-toloc.city_name
و,O
بوستون,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
حرکت,O
میکنند,O
را,O
نیاز,O
دارم,O
#EOS,499
#BOS,flight
ایا,O
خطوط,B-airline_name
هوایی,I-airline_name
کنتیننتال,I-airline_name
از,O
پیتسبرگ,B-fromloc.city_name
به,O
اتلانتا,B-toloc.city_name
پرواز,O
می‌کنند,O
#EOS,500
#BOS,flight
ارزان‌ترین,B-cost_relative
پرواز,O
از,O
میامی,B-fromloc.city_name
به,O
کلیولند,B-toloc.city_name
را,O
در,O
بعد,B-depart_time.time_relative
از,I-depart_time.time_relative
ظهر,B-depart_time.time
روز,O
یکشنبه,B-depart_date.day_name
به,O
من,O
نشان,O
بده,O
#EOS,501
#BOS,airfare
پروازهای,O
فرست,B-class_type
کلاس,I-class_type
دوطرفه,B-round_trip
از,O
دالاس,B-fromloc.city_name
به,O
دنور,B-toloc.city_name
#EOS,502
#BOS,flight
پروازهای,O
عصر,B-depart_time.period_of_day
از,O
فیلادلفیا,B-fromloc.city_name
به,O
اوکلند,B-toloc.city_name
#EOS,503
#BOS,flight
ایا,O
پروازی,O
از,O
شارلوت,B-fromloc.city_name
به,O
نیویورک,B-toloc.city_name
برای,O
سه,B-depart_date.day_name
شنبه,I-depart_date.day_name
بعد,B-depart_time.period_of_day
از,I-depart_time.period_of_day
ظهر,I-depart_time.period_of_day
هست,O
#EOS,504
#BOS,quantity
چند,O
تا,O
پرواز,O
بین,O
سن,B-fromloc.city_name
فرانسیسکو,I-fromloc.city_name
و,O
فیلادلفیا,B-toloc.city_name
در,O
هجدهم,B-depart_date.day_number
اوت,B-depart_date.month_name
وجود,O
دارد,O
#EOS,505
#BOS,airfare
قیمت,O
پروازهای,O
دوشنبه,B-depart_date.day_name
صبح,B-depart_time.period_of_day
از,O
لس,B-fromloc.city_name
انجلس,I-fromloc.city_name
به,O
نیوارک,B-toloc.city_name
چگونه,O
است,O
#EOS,506
#BOS,flight
به,O
من,O
تمام,O
پروازها,O
از,O
دنور,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
را,O
نشان,O
بده,O
#EOS,507
#BOS,flight
چه,O
پروازهایی,O
از,O
فینیکس,B-fromloc.city_name
به,O
میلواکی,B-toloc.city_name
موجود,O
است,O
#EOS,508
#BOS,flight
تمام,O
پروازها,O
از,O
اتلانتا,B-fromloc.city_name
به,O
دنور,B-toloc.city_name
که,O
پس,B-depart_time.time_relative
از,I-depart_time.time_relative
ساعت,B-depart_time.time
5,I-depart_time.time
بعد,B-depart_time.time
از,I-depart_time.time
ظهر,I-depart_time.time
پسفردا,B-depart_date.today_relative
هستند,O
را,O
نشانم,O
بده,O
#EOS,509
#BOS,flight
لطفا,O
پروازهای,O
جمعه,B-depart_date.day_name
از,O
بالتیمور,B-fromloc.city_name
به,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
را,O
لیست,O
کنید,O
#EOS,510
#BOS,ground_service
قطار,B-transport_type
به,O
نیوارک,B-city_name
#EOS,511
#BOS,aircraft
نوع,O
هواپیمایی,O
که,O
خطوط,B-airline_name
هوایی,I-airline_name
کانادایی,I-airline_name
استفاده,O
می‌کنند,O
به,O
من,O
نشان,O
بده,O
#EOS,512
#BOS,flight
پروازهای,O
روز,O
یکشنبه,B-depart_date.day_name
از,O
تمپا,B-fromloc.city_name
به,O
شارلوت,B-toloc.city_name
را,O
به,O
من,O
نشان,O
بده,O
#EOS,513
#BOS,flight
پروازهای,O
پیتسبرگ,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
که,O
از,O
ساعت,O
۴,B-arrive_time.start_time
تا,O
5,B-arrive_time.end_time
بعد,B-arrive_time.end_time
از,I-arrive_time.end_time
ظهر,I-arrive_time.end_time
می‌رسد,O
#EOS,514
#BOS,flight
تمام,O
پروازها,O
از,O
پتسبورگ,B-fromloc.city_name
به,O
بوستون,B-toloc.city_name
که,O
همگی,O
پیوسته,O
باشند,O
و,O
بعد,B-depart_time.time_relative
ساعت,B-depart_time.time
7,I-depart_time.time
بعد,B-depart_time.time
از,I-depart_time.time
ظهر,I-depart_time.time
پتسبورگ,B-fromloc.city_name
را,O
ترک,O
کنند,O
#EOS,515
#BOS,flight
من,O
یک,O
پرواز,O
از,O
نشویل,B-fromloc.city_name
به,O
سن,B-toloc.city_name
لوییس,I-toloc.city_name
می‌خواهم,O
که,O
حول,B-arrive_time.time_relative
و,I-arrive_time.time_relative
حوش,I-arrive_time.time_relative
6,B-arrive_time.time
بعد,B-arrive_time.time
از,I-arrive_time.time
ظهر,I-arrive_time.time
به,O
سن,B-toloc.city_name
لوییس,I-toloc.city_name
برسد,O
و,O
بدون,O
توقف,B-flight_stop
باشد,I-flight_stop
#EOS,516
#BOS,flight
پروازها,O
از,O
پتسبورگ,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
را,O
به,O
من,O
نشان,O
بده,O
#EOS,517
#BOS,flight
لطفا,O
پروازهایی,O
که,O
از,O
دنور,B-fromloc.city_name
به,O
فیلادلفیا,B-toloc.city_name
میرسند,O
را,O
نمایش,O
بده,O
#EOS,518
#BOS,flight
هرچیزی,O
از,O
بالتیمور,B-fromloc.city_name
یا,B-or
واشنگتن,B-fromloc.city_name
با,O
یک,O
توقف,O
در,O
دنور,B-stoploc.city_name
که,O
به,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
می‌رود,O
#EOS,519
#BOS,flight_time
لطفا,O
زمان,B-flight_time
پرواز‌ها,I-flight_time
را,O
به,O
من,O
بدهید,O
من,O
می‌خواهم,O
صبح,B-depart_time.period_of_day
قبل,B-depart_time.time_relative
از,I-depart_time.time_relative
۸,B-depart_time.time
از,O
بوستون,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
پرواز,O
کنم,O
#EOS,520
#BOS,ground_service
چه,O
حمل,O
و,O
نقل,O
زمینی,O
در,O
دالاس,B-city_name
وجود,O
دارد,O
#EOS,521
#BOS,airfare
هزینه,O
بلیط,O
کلاس,B-class_type
تجاری,I-class_type
که,O
اول,B-depart_date.day_number
ژوییه,B-depart_date.month_name
از,O
بوستون,B-fromloc.city_name
به,O
دالاس,B-toloc.city_name
می‌رود,O
چقدر,O
است,O
#EOS,522
#BOS,flight
چه,O
پروازهایی,O
پیتسبرگ,B-fromloc.city_name
را,O
پنجم,B-depart_date.day_number
ژوییه,B-depart_date.month_name
بعد,B-depart_time.time_relative
از,I-depart_time.time_relative
7,B-depart_time.time
بعد,I-depart_time.time
از,I-depart_time.time
ظهر,I-depart_time.time
ترک,O
می‌کنند,O
و,O
به,O
سن,B-toloc.city_name
فرانسیسکو,I-toloc.city_name
می‌رسند,O
#EOS,523
#BOS,flight
ایا,O
می‌توانید,O
به,O
من,O
پرواز,O
بین,O
پیتسبرگ,B-fromloc.city_name
و,O
فیلادلفیا,B-toloc.city_name
را,O
بدهید,O
#EOS,524
#BOS,abbreviation
کد,O
کرایه,O
اف,B-fare_basis_code
چیست,O
#EOS,525
#BOS,flight
چه,O
پروازهای,O
اقتصادی,B-economy
از,O
دالاس,B-fromloc.city_name
به,O
بالتیمور,B-toloc.city_name
در,O
تاریخ,O
بیست,B-depart_date.day_number
و,I-depart_date.day_number
پنجم,I-depart_date.day_number
